text,label,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,steeming
santai ada gojek chat atau worst case tinggal tambah fitur di peduli lindungi,1,"['santai', 'ada', 'gojek', 'chat', 'atau', 'worst', 'case', 'tinggal', 'tambah', 'fitur', 'di', 'peduli', 'lindungi']",<FreqDist with 13 samples and 13 outcomes>,"['santai', 'gojek', 'chat', 'worst', 'case', 'tinggal', 'fitur', 'peduli', 'lindungi']","['santai', 'gojek', 'chat', 'worst', 'case', 'tinggal', 'fitur', 'peduli', 'lindung']"
prifad gua naek gojek dulu ye semoga turun lu bedua udh menang,1,"['prifad', 'gua', 'naek', 'gojek', 'dulu', 'ye', 'semoga', 'turun', 'lu', 'bedua', 'udh', 'menang']",<FreqDist with 12 samples and 12 outcomes>,"['prifad', 'gua', 'naek', 'gojek', 'ye', 'semoga', 'turun', 'bedua', 'udh', 'menang']","['prifad', 'gua', 'naek', 'gojek', 'ye', 'moga', 'turun', 'bedua', 'udh', 'menang']"
Seperti gojek gue error,-1,"['Seperti', 'gojek', 'gue', 'error']",<FreqDist with 4 samples and 4 outcomes>,"['Seperti', 'gojek', 'gue', 'error']","['seperti', 'gojek', 'gue', 'error']"
Sementara beralih dulu jd grab user karena gojek yahudi Jangan kaget disini mam baso  ya yang bilang biaya hidup di daerah murah sini gelut sama aku,-1,"['Sementara', 'beralih', 'dulu', 'jd', 'grab', 'user', 'karena', 'gojek', 'yahudi', 'Jangan', 'kaget', 'disini', 'mam', 'baso', 'ya', 'yang', 'bilang', 'biaya', 'hidup', 'di', 'daerah', 'murah', 'sini', 'gelut', 'sama', 'aku']",<FreqDist with 26 samples and 26 outcomes>,"['Sementara', 'beralih', 'grab', 'user', 'gojek', 'yahudi', 'Jangan', 'kaget', 'baso', 'biaya', 'hidup', 'daerah', 'murah', 'gelut']","['sementara', 'alih', 'grab', 'user', 'gojek', 'yahudi', 'jangan', 'kaget', 'baso', 'biaya', 'hidup', 'daerah', 'murah', 'gelut']"
Lah Minggu malah sepi order tapi sesepi gojek sekali dpt food cs udah pesan menit yang lalu itu order jalan jalan kemana dulu wkwk,-1,"['Lah', 'Minggu', 'malah', 'sepi', 'order', 'tapi', 'sesepi', 'gojek', 'sekali', 'dpt', 'food', 'cs', 'udah', 'pesan', 'menit', 'yang', 'lalu', 'itu', 'order', 'jalan', 'jalan', 'kemana', 'dulu', 'wkwk']",<FreqDist with 22 samples and 24 outcomes>,"['Lah', 'Minggu', 'sepi', 'order', 'sesepi', 'gojek', 'food', 'cs', 'pesan', 'menit', 'order', 'jalan', 'jalan', 'kemana']","['lah', 'minggu', 'sepi', 'order', 'sep', 'gojek', 'food', 'cs', 'pesan', 'menit', 'order', 'jalan', 'jalan', 'mana']"
cuma nemu gojek dijkt yg ky gini,1,"['cuma', 'nemu', 'gojek', 'dijkt', 'yg', 'ky', 'gini']",<FreqDist with 7 samples and 7 outcomes>,"['nemu', 'gojek', 'dijkt', 'gini']","['nemu', 'gojek', 'dijkt', 'gin']"
Knp gojek ku gak ada promo gofoodnya,-1,"['Knp', 'gojek', 'ku', 'gak', 'ada', 'promo', 'gofoodnya']",<FreqDist with 7 samples and 7 outcomes>,"['Knp', 'gojek', 'ku', 'promo', 'gofoodnya']","['knp', 'gojek', 'ku', 'promo', 'gofoodnya']"
 tp waktu kelas jadi  wkwkwk eh itu udah sama uang ongkos naik angkot  jadi lebih iritt kalau naik gojek itu uang jajan abis cuma untuk bayar gojek sajaa nantii,-1,"['tp', 'waktu', 'kelas', 'jadi', 'wkwkwk', 'eh', 'itu', 'udah', 'sama', 'uang', 'ongkos', 'naik', 'angkot', 'jadi', 'lebih', 'iritt', 'kalau', 'naik', 'gojek', 'itu', 'uang', 'jajan', 'abis', 'cuma', 'untuk', 'bayar', 'gojek', 'sajaa', 'nantii']",<FreqDist with 24 samples and 29 outcomes>,"['kelas', 'uang', 'ongkos', 'angkot', 'iritt', 'gojek', 'uang', 'jajan', 'abis', 'bayar', 'gojek', 'sajaa', 'nantii']","['kelas', 'uang', 'ongkos', 'angkot', 'iritt', 'gojek', 'uang', 'jajan', 'abis', 'bayar', 'gojek', 'sajaa', 'nanti']"
Bt bgt sama penumpang gojek yg naikin gojek  kok bisabisanya,-1,"['Bt', 'bgt', 'sama', 'penumpang', 'gojek', 'yg', 'naikin', 'gojek', 'kok', 'bisabisanya']",<FreqDist with 9 samples and 10 outcomes>,"['Bt', 'penumpang', 'gojek', 'naikin', 'gojek', 'bisabisanya']","['bt', 'tumpang', 'gojek', 'naikin', 'gojek', 'bisabisanya']"
ANJRRRR JD SELAMA INI GOJEK SM PAKET GUE TUH NYASARNYA KE RUMAH ATHALLAH,-1,"['ANJRRRR', 'JD', 'SELAMA', 'INI', 'GOJEK', 'SM', 'PAKET', 'GUE', 'TUH', 'NYASARNYA', 'KE', 'RUMAH', 'ATHALLAH']",<FreqDist with 13 samples and 13 outcomes>,"['ANJRRRR', 'JD', 'SELAMA', 'INI', 'GOJEK', 'SM', 'PAKET', 'GUE', 'TUH', 'NYASARNYA', 'KE', 'RUMAH', 'ATHALLAH']","['anjrrrr', 'jd', 'lama', 'ini', 'gojek', 'sm', 'paket', 'gue', 'tuh', 'nyasarnya', 'ke', 'rumah', 'athallah']"
